scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed
33,cloud000033.pcd,4.206063920283885,0.06256472215633654,0.0,-0.008701030640044162,-0.4985323330885439,0.27081762143137583,True
34,cloud000034.pcd,4.360861627253198,0.05745400298810085,0.0,-0.002684596357141912,-0.153816040960427,0.2716035652624273,True
35,cloud000035.pcd,4.523016708715944,0.04839101374054215,0.0,-0.0017715290439020443,-0.10150113750043306,0.27109643482107304,True
36,cloud000036.pcd,4.645802109630179,0.0582766545444874,0.0,0.009901363828128422,0.5673063587752548,0.2699227476304916,True
37,cloud000037.pcd,4.6836812126967855,0.0565756184459312,0.0,0.1528560382228894,8.758005863261955,0.26971081859528806,True
38,cloud000038.pcd,4.688613913643494,0.0599503474324591,0.0,0.31010159529179815,17.767512630493954,0.2691522404656738,True
39,cloud000039.pcd,4.694910015245036,0.05827199195462306,0.0,0.47671521978905723,27.313770123564403,0.2686640656857066,True
40,cloud000040.pcd,4.711877200796273,0.062080444684568366,0.0,0.6199418199278656,35.52004982552597,0.26761115340314207,True
41,cloud000041.pcd,4.807946083481697,0.1313319333397487,0.0,0.651800658038316,37.34542678944532,0.2660853267737789,True
42,cloud000042.pcd,4.922258685635219,0.21617909429507698,0.0,0.6473057829716391,37.08788941868615,0.2670556188331871,True
43,cloud000043.pcd,5.032349971902294,0.3071029894465024,0.0,0.6434444562436171,36.866651693849434,0.2684767553895328,True
44,cloud000044.pcd,5.157667361618663,0.3838339423904503,0.0,0.6437237205017926,36.88265235721174,0.2701015508350348,True
45,cloud000045.pcd,5.2617119976527,0.4579531611897373,0.0,0.6424722118841324,36.81094619539556,0.2712252176679389,True
46,cloud000046.pcd,5.3749625144186775,0.5462805675091135,0.0,0.6410068373413863,36.726986418690295,0.2706942509238313,True
47,cloud000047.pcd,5.488838017099037,0.6291410034706698,0.0,0.646724822039994,37.054602809240905,0.2714645416515037,True
48,cloud000048.pcd,5.620814482732428,0.693653879395177,0.0,0.646189116721947,37.02390915545409,0.2710141744227425,True
49,cloud000049.pcd,5.738019879453175,0.7854220759234656,0.0,0.6474938528877635,37.09866503113346,0.27152973117496276,True
50,cloud000050.pcd,5.854513795012495,0.879596875704334,0.0,0.655317961381768,37.546953426292376,0.2714974303831362,True
51,cloud000051.pcd,5.967567177933721,0.9761786730717986,0.0,0.6560143547399186,37.58685382659535,0.27111232083100434,True
52,cloud000052.pcd,6.071292104443377,1.063302215242095,0.0,0.6517045357927518,37.339919390457176,0.27062476289209775,True
53,cloud000053.pcd,6.188611920346006,1.1499244167281089,0.0,0.6545586507587666,37.503448132254945,0.27171962353074114,True
54,cloud000054.pcd,6.31627035838672,1.2404651692638586,0.0,0.651020582164346,37.30073173416686,0.27159676049399034,True
55,cloud000055.pcd,6.365451997041202,1.2614656914364364,0.0,0.6528888459001908,37.40777536124811,0.2707975009163484,True
56,cloud000056.pcd,6.355502474587924,1.256911183031844,0.0,0.6553713290102872,37.55001116616915,0.27064517137355254,True
57,cloud000057.pcd,6.369817371565136,1.270837677936542,0.0,0.6549119939887551,37.523693208052805,0.2691951225570392,True
58,cloud000058.pcd,6.365029115070082,1.261687796340976,0.0,0.6527733169100094,37.40115603769931,0.2694276236821103,True
59,cloud000059.pcd,6.360010745416255,1.263695725676491,0.0,0.6544529399783118,37.49739135068585,0.26973519834808146,True
60,cloud000060.pcd,6.362523396052839,1.2568590449631836,0.0,0.6507878257102554,37.28739577169304,0.27089326348558945,True
61,cloud000061.pcd,6.357918054432712,1.255421300300901,0.0,0.6529002173383538,37.408426896661844,0.27001668911398957,True
