scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed
127,cloud000127.pcd,6.861448861252892,-0.534958307318403,0.0,-0.6310784200787023,-36.15813001229367,0.3333257014352609,True
128,cloud000128.pcd,6.992140196242169,-0.6413882141337538,0.0,-0.6322234680872086,-36.223736430520944,0.33332794868926563,True
129,cloud000129.pcd,7.124877190509527,-0.7343743657222497,0.0,-0.6316900962303021,-36.193176474209146,0.33332883128260804,True
130,cloud000130.pcd,7.23834335673359,-0.8191632943011297,0.0,-0.6312002605170186,-36.165110955183216,0.33333129427518887,True
131,cloud000131.pcd,7.346591186660909,-0.8806352023780704,0.0,-0.627527559676445,-35.9546806976042,0.33333220814641623,True
132,cloud000132.pcd,7.45908098826965,-0.9708450778856357,0.0,-0.6270839062843359,-35.92926123066969,0.3333324578378454,True
133,cloud000133.pcd,7.584400244755752,-1.0527461084950909,0.0,-0.6229811392069478,-35.694189992810124,0.33332758193976997,True
134,cloud000134.pcd,7.692559983689228,-1.1400620259357328,0.0,-0.6233018432822858,-35.71256498279964,0.33332953169873303,True
135,cloud000135.pcd,7.804644470224874,-1.2288973283300035,0.0,-0.6240488638569626,-35.755366108938055,0.3333297416413797,True
136,cloud000136.pcd,7.901902501361854,-1.2979823081880044,0.0,-0.627655340200947,-35.96200198236214,0.33333193241788234,True
137,cloud000137.pcd,8.020555137287824,-1.386508839174056,0.0,-0.6311472400335623,-36.16207310525343,0.3333312957727545,True
138,cloud000138.pcd,8.175152043223806,-1.4906375066378077,0.0,-0.628419310003721,-36.005774227736524,0.33332981154360947,True
139,cloud000139.pcd,8.279843326961961,-1.5502399194717202,0.0,-0.6271833178244013,-35.93495709235033,0.3333239046285428,True
140,cloud000140.pcd,8.391375123911077,-1.630250134138846,0.0,-0.6239531267272046,-35.74988077546023,0.33330867088441735,True
141,cloud000141.pcd,8.509013345330773,-1.7233227796966593,0.0,-0.6237759679347241,-35.73973032434746,0.3333198998446976,True
142,cloud000142.pcd,8.64727022159084,-1.8080794045063382,0.0,-0.6247808237749349,-35.797304323010614,0.33331625561530837,True
143,cloud000143.pcd,8.744881683381843,-1.8821076909374364,0.0,-0.6231493949376703,-35.70383033605942,0.33333090408752736,True
144,cloud000144.pcd,8.840646591111408,-1.9577871507892537,0.0,-0.6213437803757617,-35.60037624223469,0.3333252081656956,True
145,cloud000145.pcd,8.95722116872775,-2.0409078728241656,0.0,-0.6255404544710004,-35.840827955883746,0.3333287263744527,True
146,cloud000146.pcd,9.051437961518479,-2.1037246239995797,0.0,-0.6246304360077294,-35.78868773865934,0.3333239402511487,True
147,cloud000147.pcd,9.179075442903306,-2.2158811088552857,0.0,-0.617908386106028,-35.403542649615524,0.33332944582810903,True
148,cloud000148.pcd,9.251157949340183,-2.285904038548747,0.0,-0.6167347792633809,-35.336299930724174,0.3333226152943832,True
149,cloud000149.pcd,9.399203279651726,-2.381780463792051,0.0,-0.6139694146633389,-35.17785621032688,0.3333146340183296,True
150,cloud000150.pcd,9.47237315740811,-2.440014392751526,0.0,-0.614031176710052,-35.18139491493763,0.3333044311195608,True
151,cloud000151.pcd,9.583807730423704,-2.53221182704615,0.0,-0.6183070114792607,-35.42638220110858,0.3333016024290936,True
152,cloud000152.pcd,9.729766244870675,-2.6290346573542753,0.0,-0.6096157288468735,-34.92840838771745,0.33330203468204983,True
153,cloud000153.pcd,9.890608800385854,-2.7312043477956807,0.0,-0.6120203984057637,-35.066185804565436,0.3332945316011851,True
154,cloud000154.pcd,10.024027557195733,-2.83776680543063,0.0,-0.6132906956531614,-35.13896847556841,0.33332928636722475,True
155,cloud000155.pcd,10.122560072053734,-2.9389133774534923,0.0,-0.6117699980264838,-35.051838919644226,0.33332391206768647,True
